ID;Title;URL;Actual Price;Old Price;Base Price;Courier Price;Subscribe Price;Single Item Pack Discount Price;Whole Pack Discount Price;Whole Pack Without Discount Price;Brand
117434;Medium Adult Ultra Сухой корм для собак средних пород, с ягненком и рисом, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-srednih-porod-s-yagnenkom-i-risom-pak-3kg.html;3199;0;0;0;0;0;0;0;Ownat
145781;Adult Care Dermatologic Сухой корм для собак всех пород склонных к дерматологической чувствительности, с лососем, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-care-dlya-sobak-vseh-porod-dermatologic-s-lososem-pak-3kg.html;3459;0;0;0;0;0;0;0;Ownat
173442;Holistic Adult Medium & Maxi Сухой корм для собак средних и крупных пород, с ягненком и индейкой, 1 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-yagnenok-s-risom-3kg.html;1599;0;0;0;0;0;0;0;Grandorf
79898;Maxi Puppy Сухой корм для щенков крупных пород в возрасте от 2 до 15 месяцев, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Junior_32_korm_suhoy_korm_dlya_shchenkov_krupnyh_porod_do_15_mesyatsev.html;2457;0;0;0;0;0;0;0;Royal Canin
137914;Premium Dog Sensitive Корм для взрослых собак всех пород с чувствительным пищеварением, с ягненком и индейкой, 1 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-vzroslyh-sobak-vseh-porod-chuvstvitelnoe-pishchevarenie-yagnenok-indeyka.html;639;0;0;0;0;0;0;0;Brit
151187;Mini Adult Ultra Сухой корм для собак мелких пород, с курицей и индейкой, 400 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ultra-korm-dlya-sobak-melkih-porod-s-kuricey-i-indeykoy.html;559;0;0;0;0;0;0;0;Ownat
46867;Sensitive Skin Сухой корм для взрослых собак мелких и карликовых пород с чувствительной кожей, с высоким содержанием лосося, 700 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_Adultall_suhoy_korm_dlya_sobak_melkih_porod_s_chuvstvitelnoy_kogeyososris.html;719;0;0;0;0;0;0;0;PRO PLAN®
113395;Adult Grain Free Сухой корм для взрослых собак, с курицей, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-s-kuricey-dlya-vzroslyh-sobak-3-kg.html;2629;0;0;0;0;0;0;0;Ownat
151185;Mini Junior Ultra Корм сухой для щенков мелких пород, с курицей и индейкой, 400 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ultra-korm-dlya-shchenkov-melkih-porod-s-kuricey-i-indeykoy.html;559;0;0;0;0;0;0;0;Ownat
117429;Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html;2999;0;0;0;0;0;0;0;Ownat
